2022 National Employment Matrix code,2022 National Employment Matrix title,Occupation Group,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Factors affecting occupational utilization,Automation Probability,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,Line item,254.9,262.6,7.7,3.0,31.3,30.4,44440.0,High school diploma or equivalent,Less than 5 years,,,0.94,314,42.5,76.8,18.6,2.4,28.4
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,Line item,230.9,237.0,6.1,2.6,46.6,24.3,50810.0,High school diploma or equivalent,Less than 5 years,,,0.57,281,8.2,83.4,11.9,1.1,29.1
37-2000,Building Cleaning and Pest Control Workers,minor,Summary,3733.8,3768.7,34.9,0.9,6.4,527.5,31600.0,—,—,—,,,,,,,,
37-2010,Building Cleaning Workers,broad,Summary,3638.8,3670.7,31.9,0.9,6.5,514.9,31350.0,—,—,—,,,2183,40.2,75.4,17.4,3.2,34.6
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,Line item,2382.9,2412.8,29.9,1.3,5.3,336.7,31990.0,No formal educational credential,,Short-term on-the-job training,"Productivity change - share decreases as the continued use of hi-tech cleaning methods will increase the productivity of janitors and cleaners, assisting with tasks that they previously did manually.",0.66,,,,,,
37-2012,Maids and Housekeeping Cleaners,detailed,Line item,1238.8,1240.4,1.6,0.1,8.8,175.7,29960.0,No formal educational credential,,Short-term on-the-job training,Demand change - share decreases as environmentally conscious guests take advantage of option to decline daily housekeeping services.,0.69,1364,88.1,75.6,15.7,4.3,51
37-2019,"Building Cleaning Workers, All Other",detailed,Line item,17.1,17.5,0.4,2.5,6.6,2.5,37200.0,No formal educational credential,,Short-term on-the-job training,,,,,,,,
37-2021,Pest Control Workers,detailed,Line item,95.0,98.0,3.0,3.1,2.8,12.6,38310.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.66,100,6,87.3,7.7,3.6,23.5
37-3000,Grounds Maintenance Workers,minor,Summary,1281.6,1325.8,44.2,3.5,20.1,170.3,36160.0,—,—,—,,,,,,,,
37-3011,Landscaping and Groundskeeping Workers,detailed,Line item,1176.1,1217.9,41.7,3.5,20.3,156.6,35890.0,No formal educational credential,,Short-term on-the-job training,"Demand change - share decreases as the demand for traditional burials (compared to cremations) declines, thereby resulting in less demand for landscaping and groundskeeping workers to prepare gravesites.",0.95,1213,7.2,85.2,7.1,2.3,46.5
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,Line item,23.2,23.7,0.5,2.0,0.4,3.0,41440.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.97,,,,,,
37-3013,Tree Trimmers and Pruners,detailed,Line item,66.0,67.6,1.7,2.5,27.6,8.6,47080.0,High school diploma or equivalent,,Short-term on-the-job training,Demand change - share increases as local governments desire more trees in urban areas.,0.77,104,7.2,96,1.7,0,35.6
37-3019,"Grounds Maintenance Workers, All Other",detailed,Line item,16.3,16.6,0.4,2.2,—,2.1,39520.0,No formal educational credential,,Short-term on-the-job training,,,18,–,–,–,–,–
39-0000,Personal Care and Service Occupations,major,Summary,4115.9,4365.2,249.3,6.1,21.8,752.7,31340.0,—,—,—,,,3968,77.1,73.8,12.2,9.9,18.3
39-1000,Supervisors of Personal Care and Service Workers,minor,Summary,303.2,326.1,22.9,7.5,28.8,36.0,45350.0,—,—,—,,,232,77.8,68.7,13.8,14.2,12
39-1010,First-Line Supervisors of Entertainment and Recreation Workers,broad,Summary,144.2,154.0,9.7,6.7,26.5,17.0,46730.0,—,—,—,,,,,,,,
39-1013,First-Line Supervisors of Gambling Services Workers,detailed,Line item,29.7,30.6,1.0,3.2,24.1,3.3,56290.0,High school diploma or equivalent,Less than 5 years,,,,,,,,,
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",detailed,Line item,114.6,123.3,8.8,7.7,27.1,13.6,44660.0,High school diploma or equivalent,Less than 5 years,,,,,,,,,
39-1022,First-Line Supervisors of Personal Service Workers,detailed,Line item,159.0,172.1,13.1,8.3,30.9,19.1,43680.0,High school diploma or equivalent,Less than 5 years,,,,,,,,,
39-2000,Animal Care and Service Workers,minor,Summary,393.1,454.3,61.2,15.6,23.8,79.9,29790.0,—,—,—,,,,,,,,
39-2011,Animal Trainers,detailed,Line item,54.1,62.8,8.7,16.0,54.4,9.0,35620.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.1,66,67.6,93.5,0,2,5.4
39-2021,Animal Caretakers,detailed,Line item,339.0,391.5,52.5,15.5,18.9,70.9,29530.0,High school diploma or equivalent,,Short-term on-the-job training,"Demand change - share increases as more Americans own pets, and pet owners are spending more on their pets, which will continue to drive demand for animal caretakers in other personal services.",0.82,305,76.9,88.1,3.6,3.3,12.8
39-3000,Entertainment Attendants and Related Workers,minor,Summary,573.8,591.7,17.9,3.1,1,154.1,28060.0,—,—,—,,,,,,,,
39-3010,Gambling Services Workers,broad,Summary,97.1,97.7,0.6,0.6,2.8,15.5,29120.0,—,—,—,,,74,41.5,66.1,8.3,20.6,7.8
39-3011,Gambling Dealers,detailed,Line item,75.6,76.4,0.8,1.0,2.7,12.1,29120.0,High school diploma or equivalent,,Short-term on-the-job training,,0.96,,,,,,
39-3012,Gambling and Sports Book Writers and Runners,detailed,Line item,8.4,8.1,-0.3,-4.0,3.1,1.3,28940.0,High school diploma or equivalent,,Short-term on-the-job training,Demand change - share decreases as the number of online betting options increase allowing betters to forgo travel to physical locations.,0.91,,,,,,
39-3019,"Gambling Service Workers, All Other",detailed,Line item,13.1,13.2,0.1,0.8,2.8,2.1,30350.0,High school diploma or equivalent,,Short-term on-the-job training,,,,,,,,
39-3021,Motion Picture Projectionists,detailed,Line item,2.1,1.9,-0.2,-9.6,—,0.5,33360.0,No formal educational credential,,Short-term on-the-job training,"Demand change - share decreases as increased demand for alternative content, or event cinema, at movie theaters will reduce demand for motion picture projectionists to set up and operate motion picture projection.",0.97,,,,,,
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,Line item,106.6,108.3,1.7,1.6,—,31.5,27650.0,No formal educational credential,,Short-term on-the-job training,"Productivity change - share decreases as productivity improves through the adoption of more efficient, contactless ticketing and check-in systems.",0.96,39,–,–,–,–,–
39-3090,Miscellaneous Entertainment Attendants and Related Workers,broad,Summary,368.0,383.9,15.9,4.3,0.9,106.6,27930.0,—,—,—,,,,,,,,
39-3091,Amusement and Recreation Attendants,detailed,Line item,343.8,358.1,14.4,4.2,0.9,99.4,27780.0,No formal educational credential,,Short-term on-the-job training,"Productivity change - share decreases as productivity improves through the expansion in touchless technology, including through use of AI, RFID, and Internet of Things (IoT) devices.",0.72,,,,,,
39-3092,Costume Attendants,detailed,Line item,6.1,6.4,0.3,5.0,1,1.8,48470.0,High school diploma or equivalent,,Short-term on-the-job training,,0.61,,,,,,
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,Line item,12.9,13.8,0.9,7.0,0.9,3.8,30210.0,High school diploma or equivalent,,Short-term on-the-job training,,0.43,,,,,,
39-3099,"Entertainment Attendants and Related Workers, All Other",detailed,Line item,5.2,5.5,0.3,5.4,—,1.5,27260.0,High school diploma or equivalent,,Short-term on-the-job training,,,237,46.2,79.5,10.3,4.5,19.5
39-4000,Funeral Service Workers,minor,Summary,64.6,66.6,2.0,3.1,0.5,9.0,37310.0,—,—,—,,,,,,,,
39-4010,Embalmers and Crematory Operators,broad,Summary,6.9,7.1,0.1,2.1,—,1.0,46290.0,—,—,—,,,28,–,–,–,–,–
39-4011,Embalmers,detailed,Line item,4.0,4.0,0.0,0.9,—,0.6,49910.0,Associate's degree,,Long-term on-the-job training,Demand change - share decreases as more cremations take place and fewer embalming services are needed.,0.54,,,,,,
39-4012,Crematory Operators,detailed,Line item,3.0,3.1,0.1,3.9,—,0.4,40360.0,High school diploma or equivalent,,Short-term on-the-job training,,,,,,,,
39-4021,Funeral Attendants,detailed,Line item,33.2,34.2,0.9,2.8,—,4.9,31160.0,High school diploma or equivalent,,Short-term on-the-job training,,0.37,,,,,,
39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,Line item,24.5,25.4,0.9,3.7,1.3,3.0,51570.0,Associate's degree,,Long-term on-the-job training,,,36,–,–,–,–,–
39-5000,Personal Appearance Workers,minor,Summary,913.6,987.1,73.4,8.0,42.5,130.2,33270.0,—,—,—,,,,,,,,
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",broad,Summary,618.9,666.1,47.2,7.6,49.4,89.4,33400.0,—,—,—,,,,,,,,
39-5011,Barbers,detailed,Line item,63.1,67.6,4.4,7.0,79,7.3,34990.0,Postsecondary nondegree award,,,,0.8,123,24.8,58.4,27.1,9.8,40.4
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,Line item,555.8,598.6,42.8,7.7,46,82.0,33290.0,Postsecondary nondegree award,,,,0.11,720,93.1,78.6,13.7,6,18.8
39-5090,Miscellaneous Personal Appearance Workers,broad,Summary,294.7,321.0,26.2,8.9,28,40.8,33000.0,—,—,—,,,30,–,–,–,–,–
39-5091,"Makeup Artists, Theatrical and Performance",detailed,Line item,4.6,4.9,0.4,8.6,32.9,0.8,96370.0,Postsecondary nondegree award,,,,0.01,,,,,,
39-5092,Manicurists and Pedicurists,detailed,Line item,196.9,214.0,17.1,8.7,29.4,25.5,31130.0,Postsecondary nondegree award,,,,0.95,295,85.1,24.5,7.6,65.4,15.2
39-5093,Shampooers,detailed,Line item,11.3,12.6,1.3,11.2,33.4,2.1,27860.0,No formal educational credential,,Short-term on-the-job training,,0.79,,,,,,
39-5094,Skincare Specialists,detailed,Line item,82.0,89.4,7.5,9.1,23.5,12.4,38060.0,Postsecondary nondegree award,,,,0.29,96,98.7,78.8,4.4,7.5,21.5
39-6000,"Baggage Porters, Bellhops, and Concierges",minor,Summary,66.4,70.3,3.9,5.9,—,11.1,33870.0,—,—,—,,,78,35.7,71.7,20,6.9,16.1
39-6011,Baggage Porters and Bellhops,detailed,Line item,27.7,29.4,1.7,6.3,—,4.7,31510.0,High school diploma or equivalent,,Short-term on-the-job training,,0.83,,,,,,
39-6012,Concierges,detailed,Line item,38.7,40.9,2.2,5.6,—,6.5,35560.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.21,,,,,,
39-7000,Tour and Travel Guides,minor,Summary,53.6,58.0,4.3,8.1,17.4,12.2,34440.0,—,—,—,,,58,47.9,84.9,6.3,4.1,5.9
39-7010,Tour and Travel Guides,broad,Line item,53.6,58.0,4.3,8.1,17.4,12.2,34440.0,High school diploma or equivalent,,Moderate-term on-the-job training,,,,,,,,
39-7010,Tour and Travel Guides,detailed,Line item,53.6,58.0,4.3,8.1,17.4,12.2,34440.0,High school diploma or equivalent,,Moderate-term on-the-job training,,,,,,,,
39-9000,Other Personal Care and Service Workers,minor,Summary,1747.4,1811.1,63.6,3.6,18,320.3,31570.0,—,—,—,,,,,,,,
39-9011,Childcare Workers,detailed,Line item,945.9,927.4,-18.5,-2.0,24.4,153.1,28520.0,High school diploma or equivalent,,Short-term on-the-job training,,0.084,1007,94.3,77.6,13.5,3.7,23.9
39-9030,Recreation and Fitness Workers,broad,Summary,618.8,677.4,58.5,9.5,10.4,130.7,35170.0,—,—,—,,,,,,,,
39-9031,Exercise Trainers and Group Fitness Instructors,detailed,Line item,329.5,374.6,45.2,13.7,19.3,69.0,45380.0,High school diploma or equivalent,,Short-term on-the-job training,Demand change - share increases as enrollment numbers continue to grow within sports and recreation instruction establishments.,0.085,234,62.9,81.8,11.1,3.5,12.8
39-9032,Recreation Workers,detailed,Line item,289.4,302.7,13.4,4.6,0.3,61.7,31680.0,High school diploma or equivalent,,Short-term on-the-job training,,0.0061,158,61.2,79.5,15.1,1.8,11.8
39-9041,Residential Advisors,detailed,Line item,95.7,101.4,5.7,6.0,2.2,17.6,35720.0,High school diploma or equivalent,,Short-term on-the-job training,,0.064,28,–,–,–,–,–
39-9099,"Personal Care and Service Workers, All Other",detailed,Line item,87.0,104.9,17.9,20.5,20.2,18.9,34670.0,High school diploma or equivalent,,Short-term on-the-job training,,,122,64.7,85.1,7.6,4,19.9
41-0000,Sales and Related Occupations,major,Summary,14476.4,14102.0,-374.5,-2.6,7.8,1806.9,35290.0,—,—,—,,,14316,49.4,79.6,11,5.7,17.4
41-1000,Supervisors of Sales Workers,minor,Summary,1770.2,1668.2,-102.0,-5.8,24.1,152.0,47800.0,—,—,—,,,,,,,,
41-1011,First-Line Supervisors of Retail Sales Workers,detailed,Line item,1405.8,1311.8,-94.0,-6.7,21.7,123.7,45250.0,High school diploma or equivalent,Less than 5 years,,,0.28,3081,45.2,78.5,10.8,6.7,15.9
41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,Line item,364.4,356.4,-8.0,-2.2,33.1,28.2,82850.0,High school diploma or equivalent,Less than 5 years,,,0.075,1203,35.2,82.5,7.7,6.5,15.5
41-2000,Retail Sales Workers,minor,Summary,7777.8,7362.3,-415.4,-5.3,2,1189.9,29660.0,—,—,—,,,,,,,,
41-2010,Cashiers,broad,Summary,3365.2,3016.0,-349.2,-10.4,0.5,581.2,28250.0,—,—,—,,,2712,71.8,71.9,16.2,6.6,24.4
41-2011,Cashiers,detailed,Line item,3345.8,2997.7,-348.1,-10.4,0.5,577.6,28240.0,No formal educational credential,,Short-term on-the-job training,"Demand change, capital/labor substitution - share decreases as online sales increase and self-checkout systems become more common.",0.97,,,,,,
41-2012,Gambling Change Persons and Booth Cashiers,detailed,Line item,19.4,18.3,-1.1,-5.6,—,3.5,30010.0,No formal educational credential,,Short-term on-the-job training,Capital/labor substitution - share decreases as electronic payment systems replace the need for workers.,0.83,,,,,,
41-2020,Counter and Rental Clerks and Parts Salespersons,broad,Summary,646.9,659.9,12.9,2.0,0.9,77.1,35820.0,—,—,—,,,,,,,,
41-2021,Counter and Rental Clerks,detailed,Line item,380.8,391.2,10.4,2.7,0.8,45.7,35830.0,No formal educational credential,,Short-term on-the-job training,Demand change - share decreases as demand for dry cleaning at dry cleaning establishments falls and pick up and drop off laundry services at other establishments increase.,0.97,83,40.8,88.1,8,1.6,23.8
41-2022,Parts Salespersons,detailed,Line item,266.1,268.7,2.6,1.0,1,31.4,35800.0,No formal educational credential,,Moderate-term on-the-job training,,0.98,108,16.9,93.9,3,0.5,19.7
41-2031,Retail Salespersons,detailed,Line item,3765.6,3686.4,-79.1,-2.1,3.6,531.7,30600.0,No formal educational credential,,Short-term on-the-job training,"Occupational substitution - share increases as retail salespersons increasingly perform duties previously done by cashiers, such as processing transactions.",0.92,2582,49.4,79.6,12.1,4.6,18.8
41-3000,"Sales Representatives, Services",minor,Summary,2309.8,2428.0,118.1,5.1,5.1,218.1,61180.0,—,—,—,,,,,,,,
41-3011,Advertising Sales Agents,detailed,Line item,111.4,103.4,-8.0,-7.2,3.6,10.5,58450.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Demand change - share decreases as advertising in newspapers, magazines, paper coupons, and other direct mail advertising products decline, requiring fewer advertising sales agents.",0.54,130,52.1,85.6,7.8,5.4,9.9
41-3021,Insurance Sales Agents,detailed,Line item,536.8,579.3,42.5,7.9,11.1,48.3,57860.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.92,614,49.2,78.2,13.5,4.3,16.8
41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,Line item,482.2,517.7,35.6,7.4,5.9,40.1,67480.0,Bachelor's degree,,Moderate-term on-the-job training,,0.016,226,30.3,83.8,6.5,9.1,9.3
41-3041,Travel Agents,detailed,Line item,66.3,68.6,2.3,3.5,17.8,8.6,46400.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.099,71,81.9,78.1,14.7,6.7,6.9
41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,Line item,1113.2,1158.9,45.7,4.1,1.3,110.6,62400.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Demand change - share increases as companies increasingly adding new products and services, such as wireless, facial recognition, mobile surveillance services, and robotic security services, requiring additional sales workers to market and sell them to consumers.",,615,29,86.3,6.2,4.5,10.8
41-4000,"Sales Representatives, Wholesale and Manufacturing",minor,Summary,1649.9,1670.4,20.5,1.2,2.7,148.0,67750.0,—,—,—,,,1155,28.7,87.5,6.3,4.3,13.5
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,Line item,305.6,317.1,11.4,3.7,2.7,28.5,97710.0,Bachelor's degree,,Moderate-term on-the-job training,,0.25,,,,,,
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",detailed,Line item,1344.3,1353.4,9.1,0.7,2.7,119.5,63230.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.85,,,,,,
41-9000,Other Sales and Related Workers,minor,Summary,968.7,973.0,4.3,0.4,39.4,99.0,45970.0,—,—,—,,,,,,,,
41-9010,"Models, Demonstrators, and Product Promoters",broad,Summary,47.1,48.9,1.8,3.8,2.2,8.9,34840.0,—,—,—,,,23,–,–,–,–,–
41-9011,Demonstrators and Product Promoters,detailed,Line item,45.0,46.8,1.8,4.0,2.3,8.5,34770.0,No formal educational credential,,Short-term on-the-job training,"Demand change - share decreases as in-store shopping declines requiring fewer product in person demonstrations and promotions as digital promotion and demonstration via virtual and augmented reality advertising increases, and more freelancers demonstrate and promote products online.",0.51,,,,,,
41-9012,Models,detailed,Line item,2.2,2.2,0.0,0.5,—,0.4,43130.0,No formal educational credential,,,,0.98,,,,,,
41-9020,Real Estate Brokers and Sales Agents,broad,Summary,589.8,609.2,19.4,3.3,57.5,51.6,52030.0,—,—,—,,,1182,56.9,82.4,8.4,5.7,13.5
41-9021,Real Estate Brokers,detailed,Line item,127.2,131.6,4.4,3.5,58,11.2,62190.0,High school diploma or equivalent,Less than 5 years,,,0.97,,,,,,
41-9022,Real Estate Sales Agents,detailed,Line item,462.6,477.6,14.9,3.2,57.3,40.5,49980.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.86,,,,,,
41-9031,Sales Engineers,detailed,Line item,60.9,63.8,2.9,4.7,0.5,5.9,108530.0,Bachelor's degree,,Moderate-term on-the-job training,,0.0041,51,8.1,85.2,0.2,13.1,5.4
41-9041,Telemarketers,detailed,Line item,97.7,77.6,-20.1,-20.6,0.9,9.8,31030.0,No formal educational credential,,Short-term on-the-job training,"Demand change - share decreases as the Do Not Call registry from the FCC continues to grow, and companies increasingly use alternative digital marketing methods.",0.99,39,–,–,–,–,–
41-9090,Miscellaneous Sales and Related Workers,broad,Summary,173.2,173.5,0.3,0.2,23.3,22.8,42220.0,—,—,—,,,,,,,,
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",detailed,Line item,36.4,30.6,-5.8,-15.9,76.1,4.0,31100.0,No formal educational credential,,Short-term on-the-job training,,0.94,73,57.4,87,5.9,2,26
41-9099,"Sales and Related Workers, All Other",detailed,Line item,136.8,142.9,6.1,4.5,9.2,18.8,44120.0,High school diploma or equivalent,,,,,369,59.2,81.5,10.2,4.8,18.7
43-0000,Office and Administrative Support Occupations,major,Summary,19891.4,18663.8,-1227.6,-6.2,1.9,2059.8,40910.0,—,—,—,,,16096,71.9,76,15,5.1,18.2
43-1000,Supervisors of Office and Administrative Support Workers,minor,Summary,1567.2,1486.4,-80.7,-5.2,0.8,137.7,61370.0,—,—,—,,,,,,,,
43-1011,First-Line Supervisors of Office and Administrative Support Workers,detailed,Line item,1567.2,1486.4,-80.7,-5.2,0.8,137.7,61370.0,High school diploma or equivalent,Less than 5 years,,"Demand change - share decreases as office and administrative support occupations decline, resulting in fewer first-line supervisors needed.",0.014,1199,67.9,80.5,12.3,3.9,15.5
43-2000,Communications Equipment Operators,minor,Summary,54.3,41.1,-13.1,-24.2,0.9,3.6,35020.0,—,—,—,,,,,,,,
43-2011,"Switchboard Operators, Including Answering Service",detailed,Line item,48.4,36.2,-12.1,-25.1,—,2.9,34670.0,High school diploma or equivalent,,Short-term on-the-job training,Capital/labor substitution - share decreases as companies continue to use automated phone systems.,0.96,16,–,–,–,–,–
43-2021,Telephone Operators,detailed,Line item,4.1,3.0,-1.1,-26.6,—,0.4,38330.0,High school diploma or equivalent,,Short-term on-the-job training,Capital/labor substitution - share decreases as companies continue to adopt automated phone systems.,0.97,26,–,–,–,–,–
43-2099,"Communications Equipment Operators, All Other",detailed,Line item,1.8,1.9,0.1,5.9,26.4,0.3,46180.0,High school diploma or equivalent,,Short-term on-the-job training,,,5,–,–,–,–,–
43-3000,Financial Clerks,minor,Summary,3052.5,2839.0,-213.5,-7.0,2.7,302.2,43680.0,—,—,—,,,,,,,,
43-3011,Bill and Account Collectors,detailed,Line item,209.7,189.6,-20.1,-9.6,2.3,19.2,39470.0,High school diploma or equivalent,,Moderate-term on-the-job training,Productivity change - share decreases as automated collections software allows the same amount of collections work to be done with fewer human collectors.,0.95,103,68.8,75,20.6,3.6,9.3
43-3021,Billing and Posting Clerks,detailed,Line item,456.3,456.4,0.1,0.0,0.7,46.7,42810.0,High school diploma or equivalent,,Moderate-term on-the-job training,Productivity change - share decreases as automated billing software will allow more billing work to be done by fewer employees.,0.96,463,87.6,77,14.8,4.4,17.3
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",detailed,Line item,1735.8,1627.5,-108.3,-6.2,4.1,183.9,45860.0,"Some college, no degree",,Moderate-term on-the-job training,Productivity change - share decreases as automated bookkeeping software will allow more bookkeeping work to be done by fewer employees.,0.98,1132,85,82.5,8.7,5.7,14.9
43-3041,Gambling Cage Workers,detailed,Line item,12.2,11.5,-0.7,-5.4,0.8,1.1,31720.0,High school diploma or equivalent,,Short-term on-the-job training,Capital/labor substitution - share decreases as electronic payment and credit systems replace the need for workers.,0.39,23,–,–,–,–,–
43-3051,Payroll and Timekeeping Clerks,detailed,Line item,165.4,138.3,-27.2,-16.4,0.8,12.5,49630.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as more payroll and timekeeping work is automated, reducing the need for these workers.",0.97,126,92.4,80,11.2,5,24.6
43-3061,Procurement Clerks,detailed,Line item,65.3,60.4,-4.9,-7.6,—,5.4,45240.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as procurement processes are increasingly automated, reducing the need for these workers.",0.98,30,–,–,–,–,–
43-3071,Tellers,detailed,Line item,364.1,311.1,-52.9,-14.5,0,29.0,36380.0,High school diploma or equivalent,,Short-term on-the-job training,"Capital/labor substitution - share decreases as various types of technology, including online and mobile applications, enhanced ATMs, and video teller kiosks, will perform tasks currently performed by tellers.",0.98,218,83.1,79.8,9.4,6.2,21.3
43-3099,"Financial Clerks, All Other",detailed,Line item,43.7,44.2,0.5,1.1,1.5,4.5,47130.0,High school diploma or equivalent,,Short-term on-the-job training,Capital/labor substitution - share decreases as various types of technology will perform some tasks currently performed by various financial clerks such as vault clerks and safety deposit clerks.,,128,52,76.8,13.2,7,14.8
43-4000,Information and Record Clerks,minor,Summary,5871.0,5639.3,-231.7,-3.9,1,712.4,37440.0,—,—,—,,,,,,,,
43-4011,Brokerage Clerks,detailed,Line item,43.7,39.8,-3.9,-8.9,0.6,4.3,54680.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as technology automates many tasks formerly performed by these workers, including document processing and data entry.",0.98,8,–,–,–,–,–
43-4021,Correspondence Clerks,detailed,Line item,6.0,5.6,-0.4,-5.9,12.5,0.6,38700.0,High school diploma or equivalent,,Short-term on-the-job training,Productivity change - share decreases as increasingly capable automated document generators and online chat technology increase the productivity of these workers.,0.86,3,–,–,–,–,–
43-4031,"Court, Municipal, and License Clerks",detailed,Line item,170.6,175.7,5.1,3.0,2.6,17.7,44140.0,High school diploma or equivalent,,Long-term on-the-job training,,0.46,84,83.8,71.3,24.8,0.4,13.7
43-4041,"Credit Authorizers, Checkers, and Clerks",detailed,Line item,16.4,15.5,-1.0,-5.8,—,1.2,44830.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as the availability of online credit reports allows this work to be done more efficiently, reducing the need for these workers.",0.97,45,–,–,–,–,–
43-4051,Customer Service Representatives,detailed,Line item,2982.9,2820.2,-162.7,-5.5,0.6,373.4,37780.0,High school diploma or equivalent,,Short-term on-the-job training,Capital/labor substitution - share decreases as advances in speech and language processing allow computers to handle customer service interactions with greater frequency.,0.55,2714,64.8,73,17.6,5.5,19.7
43-4061,"Eligibility Interviewers, Government Programs",detailed,Line item,157.5,161.0,3.5,2.2,—,14.1,49230.0,High school diploma or equivalent,,Moderate-term on-the-job training,,0.7,80,75,61.1,24.6,6.2,22.6
43-4071,File Clerks,detailed,Line item,91.1,76.5,-14.6,-16.0,0.8,8.8,37290.0,High school diploma or equivalent,,Short-term on-the-job training,Occupational substitution - share decreases as continued adoption of digital records permits other occupations to file and retrieve records on their own.,0.97,127,78.6,73.9,15,4.1,17.4
43-4081,"Hotel, Motel, and Resort Desk Clerks",detailed,Line item,257.7,251.1,-6.6,-2.6,0.4,39.8,28910.0,High school diploma or equivalent,,Short-term on-the-job training,,0.94,132,66.5,64.8,15.3,8.8,24.5
43-4111,"Interviewers, Except Eligibility and Loan",detailed,Line item,175.4,157.6,-17.7,-10.1,0.3,18.2,38700.0,High school diploma or equivalent,,Short-term on-the-job training,Productivity change - share decreases as digital data collection allows fewer interviewers to focus on more complex and nuanced tasks.,0.94,171,78,70.4,18.7,4,19.3
43-4121,"Library Assistants, Clerical",detailed,Line item,82.9,78.2,-4.8,-5.8,0.8,13.5,31150.0,High school diploma or equivalent,,Short-term on-the-job training,"Demand change - share decreases as library usage declines, resulting in reduced need for library assistants.",0.95,76,78.5,77,7.9,14.5,8.6
43-4131,Loan Interviewers and Clerks,detailed,Line item,247.1,244.6,-2.5,-1.0,0.8,20.0,46490.0,High school diploma or equivalent,,Short-term on-the-job training,"Productivity change - share decreases as credit companies adopt automated systems, which can perform many loan application tasks, and require reduced interactions with customers.",0.92,169,68.8,83.6,11.9,2.7,15.6
43-4141,New Accounts Clerks,detailed,Line item,46.6,39.8,-6.7,-14.4,—,3.2,40820.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as bank customers increasingly use online and mobile tools to open bank accounts, reducing the need for these workers.",0.99,14,–,–,–,–,–
43-4151,Order Clerks,detailed,Line item,132.8,108.6,-24.2,-18.2,13.7,11.2,38060.0,"Some college, no degree",,Short-term on-the-job training,Capital/labor substitution - share decreases as establishments continue to adopt automated order-taking systems.,0.98,124,54.2,68.5,14.5,12.7,18
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",detailed,Line item,107.6,102.4,-5.2,-4.9,0.6,11.1,45930.0,Associate's degree,,,"Productivity change - share decreases as organizations combine their administrative functions and leverage HR technology, resulting in the need for fewer human resources assistants, except payroll and timekeeping.",0.9,89,89.1,70.6,17.9,7.2,7
43-4171,Receptionists and Information Clerks,detailed,Line item,1068.8,1072.7,3.9,0.4,1.3,142.6,33960.0,High school diploma or equivalent,,Short-term on-the-job training,Capital/labor substitution - share decreases as technology such as automated phone trees will continue to be used.,0.96,1171,90.3,76.8,15.5,3.9,21.6
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,detailed,Line item,123.0,124.6,1.6,1.3,0.5,13.8,39160.0,High school diploma or equivalent,,Short-term on-the-job training,Capital/labor substitution - share decreases as the tasks completed by reservation and transportation ticket agents and travel clerks are completed by passengers using mobile applications and self-service kiosks to bypass the ticket counter.,0.61,112,43.1,66.9,20.4,8.4,21.5
