2022 National Employment Matrix code,2022 National Employment Matrix title,Occupation Group,Occupation type,"Employment, 2022","Employment, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Percent self employed, 2022","Occupational openings, 2022-32 annual average","Median annual wage, 2022(1)",Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,Factors affecting occupational utilization,Automation Probability,Total employed,Women,White,Black or African American,Asian,Hispanic or Latino
51-3092,Food Batchmakers,detailed,Line item,171.5,185.0,13.4,7.8,1.2,27.8,36580.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Demand change - share increases as a variety of new frozen, dried, and preserved goods are produced to meet increasing demand for convenient food.",0.7,94,58.1,77.6,12.7,5.1,24.7
51-3093,Food Cooking Machine Operators and Tenders,detailed,Line item,27.3,27.7,0.4,1.6,0.3,3.9,36700.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as an expected increase in the adoption of automation technologies, such as robotics, makes food production processes more labor efficient.",0.61,13,–,–,–,–,–
51-3099,"Food Processing Workers, All Other",detailed,Line item,48.8,50.7,1.9,3.9,2.4,5.2,34710.0,No formal educational credential,,Moderate-term on-the-job training,,,142,36.4,66.6,17.4,6.2,38.6
51-4000,Metal Workers and Plastic Workers,minor,Summary,1693.4,1640.7,-52.7,-3.1,1.5,156.9,45080.0,—,—,—,,,,,,,,
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",broad,Summary,103.4,97.5,-5.9,-5.7,—,9.6,42540.0,—,—,—,,,30,–,–,–,–,–
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,Line item,64.3,63.1,-1.2,-1.9,—,6.4,39970.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as more processes can be performed by programmed machinery and improvements in software and equipment are expected to increase efficiency, allowing more output to be produced with the same amount of labor.",0.91,,,,,,
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,Line item,10.9,9.3,-1.6,-14.6,—,0.9,46540.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change, occupational substitution - share decreases as manufacturers continue to use and integrate automated, CNC, and programmable machines to complete tasks previously done by these workers.",0.93,,,,,,
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,Line item,28.2,25.1,-3.1,-11.0,—,2.4,46310.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers.",0.83,,,,,,
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",broad,Summary,301.8,269.3,-32.5,-10.8,0,26.1,39880.0,—,—,—,,,,,,,,
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,Line item,184.8,164.7,-20.1,-10.9,—,14.9,39340.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers.",0.78,60,13.7,82.1,13.4,0,17.8
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,Line item,6.6,5.4,-1.2,-18.3,—,0.6,42450.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change, occupational substitution - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers.",0.94,,,,,,
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,Line item,75.0,67.9,-7.1,-9.5,0.2,6.8,38910.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers.",0.95,25,–,–,–,–,–
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",detailed,Line item,19.7,17.8,-1.9,-9.4,—,2.2,47020.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as manufacturers are expected to use more CNC, automated, and programmable machines to perform some functions or tasks previously done by these workers.",0.84,,,,,,
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",detailed,Line item,15.7,13.5,-2.2,-13.9,—,1.6,46870.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change, occupational substitution - share decreases as robotics, CNC operated machines, and other programmable/automated machines replace less advanced machines increasing efficiency.",0.98,,,,,,
51-4041,Machinists,detailed,Line item,327.0,333.3,6.3,1.9,1.4,32.6,48510.0,High school diploma or equivalent,,Long-term on-the-job training,,0.65,313,6.8,88.2,5.7,3.5,13
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",broad,Summary,25.9,23.7,-2.2,-8.4,—,2.2,49110.0,—,—,—,,,18,–,–,–,–,–
51-4051,Metal-Refining Furnace Operators and Tenders,detailed,Line item,19.7,18.1,-1.6,-8.2,—,1.7,50280.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as modern furnaces incorporate more automation in monitoring and controlling of processes and systems. These changes are expected to increase productivity, allowing more output to be produced with the same amount of labor.",0.88,,,,,,
51-4052,"Pourers and Casters, Metal",detailed,Line item,6.2,5.6,-0.6,-9.1,—,0.5,45070.0,High school diploma or equivalent,,Moderate-term on-the-job training,"Productivity change - share decreases as programmable machines, such as robotics and computer-controlled (CNC) machinery, increasingly replace less advanced machinery, increasing efficiency.",0.87,,,,,,
51-4060,"Model Makers and Patternmakers, Metal and Plastic",broad,Summary,5.7,4.5,-1.1,-19.9,—,0.3,56170.0,—,—,—,,,0,–,–,–,–,–
